ZM7.F,EESTOR
YP1.F,PRIMA BIOMED
MTW.F,MATSUI SEC
DDL.F,DAIDO STEEL
WVH.F,FRANKLIN ST REIT
ZSK.F,SUNOPTA
QS7.F,SONA RESOURCES
AQ4.F,AMEC FOSTER WHEELER
6NO.F,NOAH HLDGS SP ADR
"H6P.F,H&E; EQUIPMENT SVCS"
ZA0.F,CN ZHENGTONG
ZT1A.F,ZEBRA TECH -A-
W8U.F,PS BUSIN PARKS REIT
P0E.F,VPE WERTPAPBK
A7Z.F,AECI
TKK1.F,TAISEI
DSN.F,DANSKE BANK
WW1.F,WOODWARD
ZYT.F,NEVADA COPPER
KOA.F,KONAMI HLDS
2MP1.F,MIDSTATES PETROLEUM
G9N.F,GRUPO AER SP ADS-B
HUWA.F,HUTCHISON WHAMPOA
4QI.F,XTEP INTL HLDGS
IM5.F,ALERE
HUWH.F,HTCHSN WHMP UNSPADR
WFT.F,WENG FINE ART N
MSTY.F,MAINSTAY MED
COJ.F,CAZA OIL & GAS
QM0.F,AFRICAN QUEEN
YP1B.F,PRIMA BIOMED SP ADR
INC.F,INTERCLOUD SYST
ZEG.F,ASTRAZENECA
ONV.F,ONVISTA
SU9.F,INCA ONE GOLD
YOK.F,BANK OF YOKOHAMA
XHNA.F,HONG KONG TL SP ADR
108.F,SUMITOMO RUBBER IND
KRT.F,KRUNGTHAI CARD -F-
QU8.F,QUNAR CAYM SP ADS-B
KIC.F,KIMCO REALTY REIT
EIN3.F,EINHELL GERMANY VZ
SPI.F,SAPPI
86S.F,SEIKO PMC
LPK.F,LPKF LASER & ELECTR
W6P.F,AVANTI COMS GROUP
JYE.F,JOYCE BOUTIQUE
GCY.F,AEROJET ROCKETDYNE
VEN.F,VENTAS REIT
17R.F,RETROPHIN
WEP.F,MAGELLAN MIDSTREAM
CU2.F,CERUS
ZP8.F,ZHAOPIN SP ADS-A
RDO.F,SIRIUS XM HLDGS
ECX.F,EPIGENOMICS N
GGRA.F,GARTNER
4EQ.F,CDN QUANTUM ENERGY
VLE.F,VALERO ENERGY
ME5A.F,METHODE ELECTRONICS
QX9F.F,Q-GOLD RESOUR
HUN2.F,BEIJING ENT WATER
VL51.F,SOC D'EXPL MIN VIOR
WR1.F,W.R.BERKLEY
NT5.F,NTT DATA
A1G.F,AMERICAN AIRLINES
J9B.F,BENAKAT INTEGRA
GI4.F,G-III APPAREL GROUP
WFP.F,REIS
QSR.F,QUICKSILVER RES
XIC.F,KLAIPEDOS NAFTA
YGW.F,YODOGAWA STEEL WORK
TX9.F,TRONOX -A-
1Q8.F,QUEST RARE MIN
XAE1.F,CATALIS
QPE.F,PEC
EAC.F,EASTMAN CHEMICAL
TF3A.F,FINISH LINE -A-
QSGA.F,STRIKE DIAMOND 
CNJ.F,CANON MARKETING JP
3DV.F,OLD CHANG KEE
FZM.F,ZTE -H-
XP31.F,GR WASTE IT
YMT.F,YAMATO KOGYO
RTJ.F,REPOWER PS
"PBS.F,PEP BOYS-MANNY M&J;"
JY21.F,JAYDEN RES
GUZ.F,YUEXIU PROPERTY
PP9.F,PPL
BM6.F,BELLZONE MINING NPV
YDAB.F,YUE DA MINING HLDGS
QAA.F,QUANTA SERVICES
T62.F,TOHO ZINC CO LTD
CS7.F,COMSYS HOLDINGS
2DJ.F,DYNAM JP HLDGS
AAM.F,MAN WAH HLDGS
WFU4.F,QUAM
ZZ8.F,CHINA HUIYUAN JUICE
Q9W1.F,AMI RESOURCES
HN3P.F,WESTSTAR RESOURCES
YDO.F,SYNTA PHARMACEUTIC
N3A.F,NIPPON AQUA
DSE.F,DAIWA SEC GRP
WF9.F,WORLEYPARSONS
RYSB.F,7.0916 RBS GRP NCP
YG11.F,YNGL GRN EN SP ADR
1ZY.F,ZAYO GROUP HLDGS
38O.F,OPOWER
XKI.F,KBL MINING
QXR1.F,DESERT GOLD VENT
OTE.F,HELLENIC TELECOM
6MN.F,MARUHA NICHIRO
XSI.F,SANYO CHEMICAL IND
LBU.F,XO GROUP
4NI.F,NISSHIN STEEL
TOM.F,TOYOTA MOTOR
Y06.F,SAETA YIELD
WC3.F,WATSCO INC
LPO.F,LIFEPOINT HEALTH
SO7.F,NAN HAI
NYT.F,NEW YORK TIMES -A-
IFX.F,INFINEON TECHNOLO N
GRU.F,GEELY AUTOMOBILE
YZC.F,YANZHOU SP ADR-H
XTE.F,ENLINK MIDSTR PARTN
FJ3.F,FUJIMORI KOGYO
XEP.F,CEPHEID 
X9X.F,ENERGOLD DRILLING
DWC.F,DL WANDA -H- 144A-S
NP7.F,NIPPON KAYAKU CO
VBH.F,VBH HOLDING
NOL.F,NEPTUNE ORIENT LINE
XTA.F,TIGER AIRWAYS
NAQ.F,NASDAQ
ZEH2.F,ZEHNDER GRP -A- N
VI3.F,VICTORY CITY INTL
7CT.F,CENTAMIN NPV
MBW.F,MEDICAL & BIO LAB
LDZA.F,ASPEN PHARMACARE
YHO.F,YAHOO
T41.F,TOBU RAILWAY
ADP.F,AUTOMATIC DATA PROC
DKI.F,DAIKIN INDUSTRIES
0H9.F,SEIBU HLDG
QPX.F,PAREX RES
KIK.F,KIKKOMAN CORP
WX1.F,ACADIA REIT-SBI
AX1.F,ANIXTER INTL
QG1A.F,PLATEAU URANIUM
XHSA.F,HOMESERVE
DEZ.F,DEUTZ
DNP.F,DAI NIPPON PRINTING
KRJB.F,JIMEI INTL ENTERTAI
KO2.F,KORIAN
UZA.F,FLUGHAFEN ZUERICH N
BZI.F,BANK ZACHODNI WBK
OKI.F,OKI ELECTRIC
FRE.F,FRESENIUS
3M0.F,MEIJI HLDGS
37A.F,EAST WEST PETE
XER.F,XEROX CORP
L53.F,LIFE HEALTH GRP
WML1.F,WILH. WILH HOLD -A-
GU3A.F,GULFMARK OFFSHORE-A
9SH.F,SHAKE SHACK-A
WY7.F,PARKWAY PROPER REIT
W3PA.F,AURA MINERALS
TGJ.F,TALLGRASS ENERGY
ZVX.F,SPORTS DIRECT
JIM.F,JIMMY CHOO
2GW.F,GREAT WESTN BANCORP
33X1.F,XINJIANG XINXIN -H-
WFG1.F,WEST CHINA CEMENT
RUU.F,RUCKUS WIRELESS
6OM.F,OWENS & MINOR
CMY.F,ZIX
EXU.F,XUEDA EDUCTN SP ADR
H7RN.F,HAMPTON RDS BKSHS
TOE.F,TOEI
CGN.F,CIGNA CORP
YBOB.F,TENAX THERAPEUTCS
2CB.F,CALITHERA BIOSCIENS
OV1B.F,OVERLAND STORAGE
WSV2.F,VIENNA INSURANCE GR
YBB.F,CARNAVALE RES
ZB31.F, ENSYNC
NR7.F,NOMURA RESEARCH
6FR.F,FRONTERA RESOUR
VNB.F,VALLEY NATL BANCORP
YT8.F,INNER MONGOLIA -H-
Q2O.F,QSOLAR
"TYR.F,TOYO TIR&RUB;"
WX3.F,PENNSYLVAN REIT-SBI
CQWA.F,SID NACIONAL SP ADR
WBC.F,WESTPAC BANKING
ADB.F,ADOBE SYSTEMS
MXD.F,MIN XIN HOLDINGS
XLG.F,XL GROUP
MK2A.F,MAKITA CORP
0Q2.F,Q2 HOLDINGS
PIK.F,PICK'N PAY STORES
HZS.F,HITACHI ZOSEN
PVJA.F,CEVA
QJQ.F,ISS
ZCC.F,CARMIKE CINEMAS
B8O.F,YANGZIJIANG SHIPBLD
JEN.F,JENOPTIK
CVLA.F,VALE PFD-A N1
4HP.F,ISETAN MITSUKOSHI H
WAJ.F,WASTE CONNECTIONS
5Z0.F,ZHONGSHENG GRP
PG4.F,PRINCIPAL FINANCIAL
XYUA.F,HENGDELI HLDGS
01T.F,TOKYU CORP
QS2A.F,SMITHS GROUP
RMT.F,REGINA MIRACLE INTL
QMC.F,SMC CORP
3QN.F,JINPAN INTL
PUZ.F,PONGS & ZAHN
BOW.F,BORYSZEW
NESR.F,NESTLE N
WCE.F,CECO ENVIRONMENTAL
LX4.F,LUXFER SP ADR
XSL.F,STEINER LEISURE
B3SB.F,BCP FIN PERP NCP A
DL7A.F,DILLARDS-A
WWFA.F,WORLD WRESTLING-A
TCE1.F,CELLDEX THERAPEUTIC
RCO.F,RESOURCES CONNECTN
XIS.F,AXIS 
DO51.F,XIANA MINING
